"filename", "language", "Markdown", "JSON", "Visual Basic", "JavaScript", "Batch", "Python", "CSS", "HTML", "XML", "JSON with Comments", "PlantUML", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\src\App.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 10, 132
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\src\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-test\start_server.bat", "Batch", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\my-app\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\my-app\package-lock.json", "JSON", 0, 27599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27600
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\my-app\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\my-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\my-app\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\my-app\src\All.css", "CSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\my-app\src\All.js", "JavaScript", 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 22, 22, 343
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\陈致远\login-yjq\my-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
